,Temp9am,Temp3pm,Mean Temperature,Weather,user1,user2,user3,user4,user5
1,17.5,25.7,21.6,hot,2,2,3,5,3
2,15.4,20.2,17.8,hot,3,3,2,2,2
3,13.5,14.1,13.8,warm,5,2,2,3,4
4,11.1,15.4,13.25,warm,1,3,3,5,3
5,10.9,14.8,12.85,warm,2,5,3,3,4
6,12.4,17.3,14.85,warm,1,5,2,4,1
7,12.1,15.5,13.8,warm,4,5,3,5,4
8,14.1,18.9,16.5,hot,3,1,1,2,4
9,13.3,21.7,17.5,hot,1,2,2,3,1
10,14.6,24,19.3,hot,2,2,3,5,4
11,16.8,26,21.4,hot,2,4,4,3,4
12,17,27.1,22.05,hot,3,4,2,4,5
13,19.7,30.7,25.2,too hot,2,4,2,4,4
14,18.7,30.4,24.55,hot,3,4,1,4,4
15,19.1,30.7,24.9,hot,3,2,1,1,3
16,20.2,29.8,25,too hot,3,1,4,3,4
17,20.1,28.6,24.35,hot,2,4,1,4,2
18,20.2,31.2,25.7,too hot,2,1,3,4,2
19,22.8,32,27.4,too hot,2,2,2,5,2
20,22.2,32.8,27.5,too hot,3,3,2,4,1
21,16.5,18.3,17.4,hot,3,5,5,2,4
22,14,16.8,15.4,hot,3,5,2,1,1
23,17.8,22.8,20.3,hot,3,4,3,3,4
24,16.8,27.3,22.05,hot,1,3,5,1,2
25,19.8,25.1,22.45,hot,3,3,1,2,2
26,16.5,21.2,18.85,hot,5,5,2,4,5
27,18.8,26.7,22.75,hot,1,1,4,1,5
28,18.9,19.7,19.3,hot,4,4,3,1,5
29,17.3,23.2,20.25,hot,2,2,1,3,1
30,17,16.3,16.65,hot,4,1,2,2,5
31,16.7,25.2,20.95,hot,2,1,4,2,4
32,20.5,19.9,20.2,hot,2,3,4,2,2
33,18.8,25.1,21.95,hot,2,5,1,2,4
34,18.6,20.5,19.55,hot,5,1,1,3,4
35,18.6,24.5,21.55,hot,3,4,4,2,4
36,21.5,22.6,22.05,hot,3,3,1,4,2
37,18,26.3,22.15,hot,4,2,5,4,1
38,20.6,28.6,24.6,hot,4,5,1,1,2
39,19.3,22.9,21.1,hot,1,1,4,5,4
40,13.8,16.4,15.1,hot,5,5,2,1,1
41,15.7,19.4,17.55,hot,4,1,3,5,1
42,15.8,19.2,17.5,hot,5,3,2,4,5
43,15.8,25,20.4,hot,5,4,4,1,1
44,17.4,29.1,23.25,hot,1,5,5,4,5
45,16.6,20,18.3,hot,5,4,4,3,3
46,15.3,20.8,18.05,hot,5,5,3,4,3
47,15.3,19.8,17.55,hot,4,4,3,5,2
48,16.1,20,18.05,hot,1,2,4,5,4
49,15.3,20.4,17.85,hot,3,3,2,5,5
50,21,28.2,24.6,hot,2,1,2,2,3
51,20.6,19.6,20.1,hot,3,5,1,3,5
52,14.9,18.8,16.85,hot,3,5,3,4,3
53,15,22.5,18.75,hot,4,5,3,3,5
54,12.4,21,16.7,hot,4,2,3,4,3
55,15.3,23.9,19.6,hot,2,2,4,2,1
56,19.8,19,19.4,hot,5,2,4,5,3
57,18.3,27.4,22.85,hot,5,2,1,5,4
58,21.5,30.3,25.9,too hot,4,5,5,4,3
59,23.4,34.3,28.85,too hot,5,5,1,4,4
60,21.9,32.2,27.05,too hot,2,5,1,2,1
61,21.9,31.8,26.85,too hot,5,1,4,5,1
62,23,33.6,28.3,too hot,4,3,3,5,3
63,19.2,22.3,20.75,hot,5,2,3,4,4
64,20.3,23.9,22.1,hot,1,5,4,2,4
65,18.6,26.8,22.7,hot,4,2,5,3,2
66,18.9,31.9,25.4,too hot,5,3,2,5,3
67,20.8,31.3,26.05,too hot,3,1,2,2,4
68,18.1,28,23.05,hot,1,3,2,1,2
69,19.3,27.9,23.6,hot,4,3,5,3,4
70,21.3,32.2,26.75,too hot,3,2,3,3,3
71,24.7,34.5,29.6,too hot,2,4,1,4,2
72,23.6,34,28.8,too hot,5,2,3,3,1
73,23,31.8,27.4,too hot,5,3,3,3,3
74,17,21.6,19.3,hot,4,4,3,5,5
75,18,31.7,24.85,hot,5,4,5,5,2
76,24.5,23.5,24,hot,5,5,4,5,1
77,17.1,23.9,20.5,hot,2,1,1,5,2
78,17.8,19.4,18.6,hot,1,5,5,2,1
79,18,18.6,18.3,hot,1,1,2,1,2
80,19.4,21.9,20.65,hot,4,3,4,1,3
81,17.4,18.6,18,hot,3,5,5,5,5
82,14.7,22.2,18.45,hot,5,4,5,4,2
83,16.2,22.7,19.45,hot,1,2,3,5,1
84,17,26.3,21.65,hot,2,1,5,3,2
85,17.6,24.6,21.1,hot,4,3,4,2,3
86,18.3,28.3,23.3,hot,3,2,2,5,5
87,19.7,30.7,25.2,too hot,3,3,1,3,3
88,22.4,32.1,27.25,too hot,3,3,4,2,5
89,19.8,32.3,26.05,too hot,2,5,2,4,1
90,22.2,33.1,27.65,too hot,5,3,5,3,1
91,21.4,26.3,23.85,hot,5,4,2,2,2
92,16.5,22.9,19.7,hot,1,2,5,4,2
93,19.1,27,23.05,hot,2,3,2,3,4
94,21.7,29.1,25.4,too hot,2,3,5,1,5
95,18.5,22.1,20.3,hot,3,3,4,5,4
96,18.4,21.5,19.95,hot,4,4,4,2,5
97,18.7,26.5,22.6,hot,2,2,5,4,1
98,17.9,20.3,19.1,hot,4,3,3,1,2
99,13.6,18.7,16.15,hot,1,4,5,3,5
100,13.8,18.7,16.25,hot,5,5,3,3,3
101,14,21.4,17.7,hot,5,5,4,5,3
102,14.6,24.2,19.4,hot,1,1,2,5,1
103,15.8,22.6,19.2,hot,2,5,2,2,3
104,16.3,16.8,16.55,hot,4,3,5,2,2
105,13.7,22,17.85,hot,4,3,4,1,1
106,15,24.3,19.65,hot,5,4,1,4,3
107,15.3,24.7,20,hot,1,5,4,5,4
108,15.4,22.5,18.95,hot,2,5,3,3,2
109,17.2,24.1,20.65,hot,2,2,5,4,1
110,16.9,26.1,21.5,hot,5,2,2,3,5
111,17.4,28.6,23,hot,5,5,4,1,3
112,17.5,24,20.75,hot,4,3,2,5,4
113,16.5,27.4,21.95,hot,3,5,4,3,1
114,15.7,24.5,20.1,hot,4,1,2,3,2
115,15.1,22.9,19,hot,2,1,3,2,2
116,15.8,24.3,20.05,hot,5,5,3,2,1
117,17.4,27,22.2,hot,5,3,5,5,3
118,17.6,26.8,22.2,hot,1,1,4,4,3
119,15.7,15.3,15.5,hot,4,1,3,5,5
120,10.6,16.8,13.7,warm,2,5,2,2,3
121,11.7,20,15.85,hot,2,2,5,5,1
122,12.2,22.1,17.15,hot,3,1,1,3,4
123,13.8,25.5,19.65,hot,5,5,3,2,4
124,15.6,27,21.3,hot,2,2,5,5,1
125,15.7,26.2,20.95,hot,1,2,1,5,1
126,17.4,30,23.7,hot,2,1,1,5,3
127,17.5,27.7,22.6,hot,2,2,1,5,5
128,14,24.9,19.45,hot,2,3,2,2,4
129,17.8,27,22.4,hot,2,4,5,5,2
130,17.2,30.1,23.65,hot,2,4,3,1,3
131,20.2,32.7,26.45,too hot,2,2,2,2,4
132,17.5,30.7,24.1,hot,4,3,2,2,4
133,16.1,31.7,23.9,hot,3,1,2,2,4
134,17.9,32.7,25.3,too hot,5,5,1,5,3
135,21.4,34.1,27.75,too hot,5,4,4,1,3
136,18.2,30.5,24.35,hot,4,4,4,2,5
137,17.7,28.8,23.25,hot,4,4,3,3,4
138,16.8,29.2,23,hot,3,4,1,5,2
139,19.7,24.5,22.1,hot,3,2,2,5,3
140,17.1,27.6,22.35,hot,1,1,5,2,1
141,13.3,13.9,13.6,warm,4,1,3,2,5
142,14,17.9,15.95,hot,1,2,5,5,3
143,15.5,24.2,19.85,hot,4,1,5,1,5
144,17.1,21.1,19.1,hot,5,3,3,4,5
145,16.4,16.6,16.5,hot,5,3,2,4,4
146,15.1,17.4,16.25,hot,3,3,2,2,4
147,8.4,17.4,12.9,warm,1,1,5,5,5
148,9.2,17.2,13.2,warm,3,3,1,3,1
149,8.8,18.2,13.5,warm,4,2,1,1,1
150,11.2,18.1,14.65,warm,3,4,5,2,2
151,13.1,16.5,14.8,warm,4,2,5,4,3
152,8.7,21.2,14.95,warm,4,3,4,5,4
153,9.5,22.5,16,hot,4,5,4,1,1
154,9.1,13.7,11.4,warm,5,5,5,3,5
155,5.2,17.6,11.4,warm,5,5,2,2,1
156,8.2,20.5,14.35,warm,1,2,5,5,5
157,12.9,20.8,16.85,hot,2,1,5,3,4
158,14.9,19.5,17.2,hot,3,2,5,4,3
159,13.8,17.8,15.8,hot,2,5,5,4,1
160,14.3,18.6,16.45,hot,4,5,1,3,5
161,14,22.2,18.1,hot,2,2,3,1,3
162,12.7,22.4,17.55,hot,1,2,5,4,3
163,11.5,23.7,17.6,hot,2,4,3,4,4
164,10.7,19.1,14.9,warm,5,4,4,1,5
165,12.4,17.9,15.15,hot,3,2,3,3,2
166,12.3,20.4,16.35,hot,4,2,1,3,4
167,12.6,18.8,15.7,hot,5,3,3,3,3
168,12,20.4,16.2,hot,5,1,2,4,2
169,14,19.1,16.55,hot,4,1,1,5,5
170,13.6,15.2,14.4,warm,4,4,2,5,3
171,13.5,15.6,14.55,warm,3,3,4,1,4
172,10.6,19.8,15.2,hot,5,2,1,2,5
173,12.5,17.7,15.1,hot,1,4,4,3,4
174,12.6,18.1,15.35,hot,3,5,4,2,5
175,9.2,17.6,13.4,warm,1,2,2,3,1
176,10.1,20.6,15.35,hot,4,2,5,2,5
177,7.9,20.2,14.05,warm,5,5,1,3,5
178,14.4,16.6,15.5,hot,5,3,2,3,3
179,7.1,8.8,7.95,warm,5,4,3,4,5
180,6.3,13.2,9.75,warm,3,5,5,4,2
181,5.3,13.9,9.6,warm,5,1,4,3,1
182,10.5,12.4,11.45,warm,4,3,3,4,5
183,8.7,15.9,12.3,warm,4,2,4,2,2
184,7.4,16.2,11.8,warm,4,1,2,1,2
185,6.2,15.4,10.8,warm,3,1,4,2,5
186,7.7,18.5,13.1,warm,4,2,4,3,4
187,12.5,15.4,13.95,warm,1,4,5,3,5
188,12.4,16.5,14.45,warm,2,2,2,3,2
189,6.7,16.9,11.8,warm,3,5,3,2,5
190,7.6,20.7,14.15,warm,1,2,3,5,5
191,8.4,20.9,14.65,warm,3,5,5,2,2
192,13.5,17.2,15.35,hot,3,1,5,4,5
193,12.1,18.8,15.45,hot,5,5,1,5,5
194,7.9,18.6,13.25,warm,5,4,1,4,2
195,8.5,17.8,13.15,warm,4,1,4,5,5
196,6.8,17.7,12.25,warm,1,3,1,2,2
197,10,15.2,12.6,warm,5,1,4,4,1
198,11.3,7.3,9.3,warm,1,1,1,1,3
199,7.9,13.3,10.6,warm,4,1,2,3,2
200,3.5,16.7,10.1,warm,4,1,2,5,1
201,3.8,16.2,10,warm,5,1,2,4,1
202,8,16.6,12.3,warm,5,4,5,2,2
203,5.9,13.8,9.85,warm,4,1,4,2,5
204,5.3,14.5,9.9,warm,5,5,2,3,1
205,6.5,13.9,10.2,warm,5,4,1,2,4
206,6.2,17.2,11.7,warm,2,5,2,5,2
207,7,17.9,12.45,warm,5,4,1,2,5
208,8.9,17.7,13.3,warm,4,1,3,1,5
209,6.2,16.3,11.25,warm,4,5,2,4,1
210,5.5,17.3,11.4,warm,2,1,4,2,3
211,5.6,17.4,11.5,warm,2,2,3,2,4
212,4.7,18.2,11.45,warm,4,4,4,2,2
213,4.6,13.9,9.25,warm,2,3,5,2,5
214,9.9,15.5,12.7,warm,2,4,1,3,1
215,12.1,13.6,12.85,warm,4,2,3,5,5
216,11.5,13.3,12.4,warm,4,4,2,4,1
217,10.3,14.8,12.55,warm,1,3,3,2,1
218,9.6,16.2,12.9,warm,3,1,2,3,5
219,4.9,14.5,9.7,warm,5,4,3,1,1
220,7.9,13,10.45,warm,5,1,1,2,5
221,12.1,14.5,13.3,warm,1,2,5,4,4
222,10.3,11.6,10.95,warm,2,5,4,1,2
223,12.9,13.7,13.3,warm,4,3,2,2,1
224,11.2,14.7,12.95,warm,4,2,3,1,3
225,8.8,11.1,9.95,warm,5,5,3,1,1
226,6.5,11,8.75,warm,4,1,2,5,5
227,9,13.8,11.4,warm,5,2,5,4,3
228,9.5,16,12.75,warm,2,2,2,5,5
229,9.4,14.9,12.15,warm,2,5,5,5,1
230,4,15,9.5,warm,5,2,1,4,3
231,8.4,14.8,11.6,warm,4,3,4,2,2
232,9.7,11.3,10.5,warm,4,3,5,3,5
233,4.2,12.1,8.15,warm,2,5,1,3,5
234,8.8,12.5,10.65,warm,1,2,2,3,4
235,5.5,12.3,8.9,warm,3,1,5,5,2
236,4.3,11.7,8,warm,5,5,2,5,4
237,7.8,11.3,9.55,warm,2,3,5,5,1
238,7,11.5,9.25,warm,4,2,2,2,5
239,6.7,12.7,9.7,warm,5,4,5,4,3
240,2.1,14.5,8.3,warm,4,1,2,2,3
241,6.5,14.6,10.55,warm,2,5,3,4,3
242,9.7,12.9,11.3,warm,3,5,1,4,2
243,6.9,11.1,9,warm,1,3,5,5,3
244,10.6,12.3,11.45,warm,5,4,4,1,2
245,3,11.1,7.05,warm,4,3,3,4,5
246,5.9,10.2,8.05,warm,3,4,5,4,4
247,4.7,12.6,8.65,warm,2,3,2,2,3
248,3.7,13.6,8.65,warm,1,3,4,1,5
249,6.3,8.6,7.45,warm,4,2,1,3,2
250,5.5,7.4,6.45,warm,3,1,4,1,5
251,1.8,8,4.9,cold,4,1,2,3,4
252,6,6.9,6.45,warm,3,2,3,3,2
253,5.5,7.1,6.3,warm,4,2,3,3,5
254,0.8,9.9,5.35,cold,4,3,5,1,2
255,2.8,10.7,6.75,warm,3,3,3,1,3
256,6.7,15.9,11.3,warm,2,3,5,1,2
257,3.9,13.3,8.6,warm,3,4,1,2,3
258,2.7,12.1,7.4,warm,4,3,5,5,3
259,1.3,11,6.15,warm,1,3,1,2,2
260,7.7,8.2,7.95,warm,5,5,4,5,1
261,6,10.7,8.35,warm,2,1,2,2,3
262,2.4,8.7,5.55,cold,4,4,3,5,1
263,7.6,11.2,9.4,warm,1,4,5,5,2
264,3.4,11,7.2,warm,3,5,1,4,5
265,3.6,10.1,6.85,warm,1,3,2,5,2
266,3.7,10.8,7.25,warm,2,2,4,5,2
267,1.4,12.3,6.85,warm,4,1,5,3,1
268,1.2,10.9,6.05,warm,5,5,2,4,1
269,1,7.8,4.4,cold,5,4,5,5,3
270,5.6,9.6,7.6,warm,3,2,3,3,1
271,6.5,11.2,8.85,warm,2,2,4,5,5
272,2.7,11.5,7.1,warm,3,3,2,5,4
273,3,12.8,7.9,warm,2,5,1,4,4
274,9.6,8.6,9.1,warm,4,5,2,1,5
275,6.9,10.5,8.7,warm,2,5,4,5,1
276,7.8,11.6,9.7,warm,4,4,3,1,5
277,2.6,9.1,5.85,cold,4,3,3,3,5
278,5.5,7.2,6.35,warm,3,2,4,1,5
279,8.9,13.6,11.25,warm,3,3,4,3,4
280,3.8,5.7,4.75,cold,4,4,1,2,5
281,7.6,11.3,9.45,warm,5,1,1,3,2
282,5.6,8.1,6.85,warm,2,4,3,5,2
283,3.3,5.1,4.2,cold,1,5,3,5,4
284,4.7,8.3,6.5,warm,1,4,2,5,2
285,7,8.6,7.8,warm,1,5,4,2,2
286,6.5,10.4,8.45,warm,4,2,5,4,4
287,6.2,9.5,7.85,warm,5,4,5,3,4
288,9.2,12,10.6,warm,1,3,4,4,5
289,8.7,13.5,11.1,warm,2,5,2,3,4
290,4.5,10.8,7.65,warm,2,3,2,3,2
291,1.4,11.2,6.3,warm,1,5,4,1,1
292,0.1,12.2,6.15,warm,3,3,2,5,1
293,7.9,12.4,10.15,warm,4,4,1,1,1
294,8.6,13.2,10.9,warm,4,1,5,5,5
295,6.9,10.7,8.8,warm,5,3,5,1,1
296,6.7,11.1,8.9,warm,1,5,1,3,3
297,5.2,14,9.6,warm,3,4,3,3,2
298,5.3,12.8,9.05,warm,2,5,5,5,1
299,4.8,15.8,10.3,warm,3,3,5,3,1
300,7.9,14.4,11.15,warm,2,5,1,5,4
301,7.2,12.3,9.75,warm,4,1,1,1,4
302,7.3,14.6,10.95,warm,4,2,1,2,1
303,6.2,15.4,10.8,warm,1,4,5,4,3
304,13.5,12.6,13.05,warm,4,4,1,3,1
305,8.8,14.3,11.55,warm,1,3,1,2,5
306,9,14.9,11.95,warm,4,2,1,3,4
307,9.3,11.1,10.2,warm,1,1,2,2,4
308,8.3,10.2,9.25,warm,2,1,3,4,4
309,8.7,10.8,9.75,warm,5,1,1,4,1
310,10,15.7,12.85,warm,2,4,1,3,4
311,6.4,15.5,10.95,warm,2,2,1,4,2
312,7.2,15.3,11.25,warm,3,1,1,2,3
313,5.5,13.4,9.45,warm,2,2,2,1,5
314,6.3,14.9,10.6,warm,1,4,4,3,1
315,6,16.3,11.15,warm,3,1,5,2,3
316,11.9,21.5,16.7,hot,1,1,5,4,2
317,17.5,25.1,21.3,hot,2,1,5,2,2
318,16.7,18.2,17.45,hot,4,1,1,1,5
319,15.6,18.5,17.05,hot,1,2,2,3,5
320,7.1,12.2,9.65,warm,4,5,5,1,5
321,7.4,13.7,10.55,warm,2,5,4,3,1
322,7,17.8,12.4,warm,5,1,5,5,2
323,16.4,22.4,19.4,hot,1,4,5,2,3
324,18.3,21.3,19.8,hot,1,5,4,4,2
325,14.5,18.3,16.4,hot,3,1,1,4,1
326,15.9,21,18.45,hot,3,4,1,3,4
327,8,14.3,11.15,warm,2,1,5,1,2
328,10.7,16.5,13.6,warm,4,4,1,2,3
329,11,18.1,14.55,warm,1,4,2,1,1
330,15.4,20,17.7,hot,2,4,1,4,1
331,15.9,24.7,20.3,hot,1,5,2,5,3
332,20.4,23,21.7,hot,3,4,1,1,1
333,14.9,16,15.45,hot,2,5,1,3,3
334,9.8,16.3,13.05,warm,4,3,3,1,5
335,11.3,19.5,15.4,hot,2,1,2,3,1
336,19,26.7,22.85,hot,2,2,2,2,5
337,22.5,28.4,25.45,too hot,3,5,1,1,1
338,14.5,19.3,16.9,hot,4,1,5,1,3
339,11.7,19.8,15.75,hot,5,3,5,1,4
340,12.8,16.2,14.5,warm,3,4,1,4,1
341,6.9,14.6,10.75,warm,1,4,4,3,4
342,7.2,16.6,11.9,warm,5,2,4,5,4
343,8.1,18.8,13.45,warm,4,2,1,1,3
344,10,21.4,15.7,hot,5,3,5,2,2
345,13.6,20.6,17.1,hot,5,5,2,4,5
346,12.6,22.3,17.45,hot,5,4,2,2,5
347,16.3,23.2,19.75,hot,5,5,2,2,1
348,14.5,19.4,16.95,hot,4,2,4,4,5
349,11.6,18.4,15,hot,4,5,3,2,2
350,9.6,19.2,14.4,warm,2,1,3,5,1
351,11.6,21.9,16.75,hot,5,4,4,1,4
352,12.7,23.7,18.2,hot,5,5,2,1,5
353,16.8,27.4,22.1,hot,3,5,4,4,1
354,16.4,26.3,21.35,hot,3,4,4,4,2
355,11.4,18.5,14.95,warm,3,3,5,3,1
356,8.3,14.3,11.3,warm,4,3,5,1,5
357,9.1,16.3,12.7,warm,1,1,2,2,3
358,9.4,19.1,14.25,warm,1,1,3,2,3
359,12,24.8,18.4,hot,4,5,1,4,3
360,16.3,25.9,21.1,hot,4,1,1,3,3
361,20.4,30,25.2,too hot,5,3,2,2,1
362,17.2,28.2,22.7,hot,3,1,2,4,4
363,14.5,18.3,16.4,hot,4,5,2,2,2
364,15.8,25.9,20.85,hot,4,5,4,1,5
365,23.8,28.6,26.2,too hot,3,4,2,4,3
